City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cockburn town,21.4612,-71.1419,27.68,77,7,5.41,TC,1684448975
83,ribeira grande,38.5167,-28.7,18.21,85,19,4.47,PT,1684448975
84,valdivia,-39.8142,-73.2459,13.05,91,91,2.65,CL,1684448975
85,tiksi,71.6872,128.8694,-8.12,89,54,2.98,RU,1684448775
86,ilulissat,69.2167,-51.1,3.01,75,20,3.6,GL,1684448782
87,racine,42.7495,-88.0751,22.94,43,0,4.63,US,1684448811
88,hawaiian paradise park,19.5933,-154.9731,26.13,75,75,2.06,US,1684448976
89,guerrero negro,27.9769,-114.0611,20.7,55,3,6.05,MX,1684448976
90,broome,42.2506,-75.833,20.37,30,0,3.13,US,1684448976
91,mary,37.0,62.5,21.29,30,50,4.86,TM,1684448976
92,richards bay,-28.783,32.0377,17.93,90,96,4.47,ZA,1684448976
93,puerto natales,-51.7236,-72.4875,2.69,84,44,4.05,CL,1684448976
94,novaya igirma,57.1334,103.9112,2.07,96,100,4.41,RU,1684448976
95,sisimiut,66.9395,-53.6735,1.26,83,93,2.82,GL,1684448977
96,chenzhou,25.8,113.0333,21.68,85,44,0.98,CN,1684448977
97,tirumullaivasal,11.2333,79.8333,28.31,78,9,6.19,IN,1684448977
98,nadym,65.5333,72.5167,7.29,73,100,7.61,RU,1684448977
99,trairi,-3.2778,-39.2689,26.03,86,82,2.89,BR,1684448977
100,glace bay,46.1969,-59.957,7.83,47,20,8.23,CA,1684448977
101,mount gambier,-37.8333,140.7667,10.33,87,82,1.24,AU,1684448933
102,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,100,100,3.0,RU,1684448931
103,narok,-1.0783,35.8601,13.76,95,31,1.37,KE,1684448977
104,hadibu,12.65,54.0333,29.72,75,3,2.71,YE,1684448808
105,vorkuta,67.5,64.0,7.25,78,100,6.18,RU,1684448783
106,santiago de cao,-7.9589,-79.2392,24.07,73,14,6.17,PE,1684448978
107,mocoa,1.1493,-76.6466,26.03,90,68,0.4,CO,1684448835
108,fort bragg,35.139,-79.006,23.32,42,75,6.69,US,1684448800
109,kayenta,36.7278,-110.2546,24.06,21,98,4.29,US,1684448978
110,olonkinbyen,70.9221,-8.7187,1.09,93,100,5.78,SJ,1684448978
111,port elizabeth,-33.918,25.5701,13.94,97,100,3.6,ZA,1684448772
112,enewetak,11.3474,162.3373,27.59,74,98,7.4,MH,1684448978
113,egilsstadir,65.2653,-14.3948,10.95,66,0,7.2,IS,1684448978
114,capitan bado,-23.2667,-55.5333,16.93,81,0,3.65,PY,1684448978
115,uturoa,-16.7333,-151.4333,28.04,76,91,5.31,PF,1684448833
116,kismayo,-0.3582,42.5454,26.68,81,53,6.1,SO,1684448979
117,vilyuysk,63.7553,121.6247,1.65,71,78,2.55,RU,1684448979
118,nuuk,64.1835,-51.7216,3.34,65,40,3.6,GL,1684448979
119,pechora,65.1472,57.2244,14.28,59,77,6.18,RU,1684448979
120,hithadhoo,-0.6,73.0833,28.15,77,46,3.89,MV,1684448808
121,hassi messaoud,31.6804,6.0729,26.92,34,48,3.09,DZ,1684448979
122,rikaze,29.25,88.8833,8.95,52,97,1.43,CN,1684448979
123,coquimbo,-29.9533,-71.3436,15.85,88,75,3.6,CL,1684448979
124,sungjibaegam,41.2428,128.7989,7.45,77,37,1.45,KP,1684448979
125,illizi,26.4833,8.4667,30.89,9,59,2.14,DZ,1684448980
126,kapit,2.0167,112.9333,22.44,99,97,0.42,MY,1684448980
127,jamestown,42.097,-79.2353,20.85,28,0,2.57,US,1684448980
128,mammoth lakes,37.6485,-118.9721,22.4,22,0,8.23,US,1684448980
129,yellowknife,62.456,-114.3525,16.29,41,75,4.63,CA,1684448980
130,princeville,45.7668,-61.2985,8.63,51,0,4.63,CA,1684448980
131,navia,43.5354,-6.7194,9.94,94,66,1.91,ES,1684448980
132,dhidhdhoo,6.8833,73.1,28.37,76,5,1.39,MV,1684448980
133,kaa-khem,51.6833,94.7333,0.82,64,96,1.79,RU,1684448981
134,liwa,24.5361,56.5656,33.59,29,98,2.24,OM,1684448981
135,kontcha,7.9667,12.2333,26.8,60,73,2.23,CM,1684448981
136,stanley,54.868,-1.6985,11.05,82,0,2.06,GB,1684448981
137,yuzhnoural'sk,54.4418,61.2536,6.24,52,100,5.98,RU,1684448981
138,gamboma,-1.8764,15.8644,25.15,75,32,0.49,CG,1684448981
139,salahonda,2.1019,-78.7217,28.12,81,95,6.32,CO,1684448981
140,chonchi,-42.6128,-73.8092,9.56,91,90,3.34,CL,1684448773
141,makarov,48.6333,142.8,10.09,79,16,2.02,RU,1684448981
142,selfoss,63.9331,-20.9971,8.91,94,100,10.76,IS,1684448981
143,codrington,-38.2667,141.9667,10.19,87,62,1.54,AU,1684448982
144,leh,34.1667,77.5833,4.6,84,100,2.0,IN,1684448982
145,leirvik,59.7798,5.5005,10.35,86,93,2.24,NO,1684448982
146,port alfred,-33.5906,26.891,11.21,94,9,2.24,ZA,1684448982
147,argo,37.6333,22.7333,18.77,74,31,1.39,GR,1684448982
148,buala,-8.145,159.5921,27.89,79,92,1.19,SB,1684448982
149,akureyri,65.6835,-18.0878,12.96,58,75,5.66,IS,1684448982
150,medina,24.4686,39.6142,32.24,18,0,1.54,SA,1684448944
151,anna regina,7.2644,-58.5077,26.8,81,78,3.7,GY,1684448983
152,luchegorsk,46.4764,134.2569,13.15,60,4,1.35,RU,1684448983
153,shalqar,47.8333,59.6,12.33,77,53,2.2,KZ,1684448983
154,kapuskasing,49.4169,-82.4331,17.05,27,100,7.2,CA,1684448918
155,bhachau,23.2833,70.35,27.92,75,0,5.23,IN,1684448983
156,salinopolis,-0.6136,-47.3561,26.84,85,57,3.33,BR,1684448983
157,alaghsas,17.0187,8.0168,33.89,8,98,3.47,NE,1684448983
158,bireun,5.203,96.7009,26.0,85,100,1.71,ID,1684448983
159,neiafu,-18.65,-173.9833,27.38,89,75,5.14,TO,1684448983
160,hami,42.8,93.45,16.48,15,7,6.16,CN,1684448984
161,alice springs,-23.7,133.8833,2.75,93,0,2.77,AU,1684448984
162,mahina,-17.5065,-149.489,29.86,66,96,8.03,PF,1684448984
163,klyuchi,52.2667,79.1667,6.46,53,97,4.94,RU,1684448870
164,calp,38.6447,0.0445,18.7,65,39,2.48,ES,1684448984
165,albany,42.6001,-73.9662,18.1,29,0,0.45,US,1684448984
166,homer,59.6425,-151.5483,12.24,61,100,1.54,US,1684448984
167,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,7.2,EC,1684448984
168,colonia,50.9333,6.95,12.12,70,0,3.09,DE,1684448896
169,manakara,-22.1333,48.0167,20.77,96,28,1.75,MG,1684448984
170,nemuro,43.3236,145.575,7.64,94,100,4.81,JP,1684448864
171,saudarkrokur,65.7461,-19.6394,9.14,87,99,3.16,IS,1684448985
172,sechura,-5.5569,-80.8222,27.5,61,20,8.06,PE,1684448985
173,kenai,60.5544,-151.2583,13.05,40,100,3.6,US,1684448985
174,charters towers,-20.1,146.2667,14.44,35,0,3.61,AU,1684448985
175,hermanus,-34.4187,19.2345,13.18,73,17,3.04,ZA,1684448824
176,grand gaube,-20.0064,57.6608,24.1,79,1,0.45,MU,1684448985
177,bamboo flat,11.7,92.7167,26.05,89,40,0.0,IN,1684448985
178,qaqortoq,60.7167,-46.0333,3.99,78,100,2.72,GL,1684448957
179,ocean shores,46.9737,-124.1563,19.69,78,40,6.17,US,1684448986
180,siesta key,27.302,-82.5515,30.09,63,0,4.92,US,1684448986
181,harper,4.375,-7.7169,26.16,88,85,2.95,LR,1684448986
182,margaret river,-33.95,115.0667,13.92,73,46,4.12,AU,1684448833
183,ta`u,-14.2336,-169.5144,26.65,86,100,8.88,AS,1684448986
184,kimbe,-5.5502,150.1429,26.85,79,88,0.44,PG,1684448801
185,oranjestad,12.524,-70.027,28.97,84,20,9.26,AW,1684448986
186,crane,31.3974,-102.3501,29.12,32,97,4.45,US,1684448775
187,constitucion,-35.3333,-72.4167,13.2,77,100,5.65,CL,1684448912
188,dolinsk,47.35,142.8,10.75,81,7,2.39,RU,1684448986
189,tateyama,34.9833,139.8667,20.83,84,100,5.65,JP,1684448987
190,atar,20.5169,-13.0499,27.92,15,65,4.7,MR,1684448987
191,port lincoln,-34.7333,135.8667,14.01,75,100,3.35,AU,1684448987
192,carnarvon,-24.8667,113.6333,22.17,46,47,5.96,AU,1684448785
193,praya,14.9215,-23.5087,23.3,78,75,10.8,CV,1684448987
194,la passe,45.5549,-0.8967,13.13,79,39,4.42,FR,1684448987
195,bubaque,11.2833,-15.8333,26.89,77,100,8.18,GW,1684448987
196,talnakh,69.4865,88.3972,2.34,100,100,4.66,RU,1684448987
197,parbhani,19.2667,76.7833,32.71,21,82,5.26,IN,1684448987
198,flekkefjord,58.2971,6.6607,8.86,96,30,0.13,NO,1684448988
199,shingu,33.7333,135.9833,19.0,89,100,3.51,JP,1684448988
200,amga,60.8953,131.9608,6.87,71,71,0.78,RU,1684448915
201,nova vicosa,-17.8919,-39.3719,23.81,63,64,5.54,BR,1684448927
202,birao,10.2849,22.7882,32.53,20,100,1.28,CF,1684448988
203,bardai,11.65,7.2333,25.44,58,100,3.65,NG,1684448836
204,takoradi,4.8845,-1.7554,26.59,85,100,3.23,GH,1684448988
205,lebu,-37.6167,-73.65,11.88,91,69,1.5,CL,1684448988
206,betio village,1.358,172.9211,31.02,79,44,5.69,KI,1684448988
207,keflavik,64.0049,-22.5624,8.24,93,100,12.35,IS,1684448988
208,buenavista,8.9769,125.4089,25.15,87,100,1.69,PH,1684448989
